listing_id,listing_package_type,ask_price,listing_status,plus_price,premium_price,raketen_price,publication_date,scrap_date
19487540,basic,995000,for_sale,700,2000,829,1/6/23,2023
19487644,basic,995000,for_sale,700,2200,829,1/6/23,2023
19487781,basic,995000,for_sale,700,2000,829,1/6/23,2023
19487821,plus,995000,for_sale,700,2200,559.5,1/6/23,2023
18233262,plus,995000,for_sale,600,2200,414.5,1/6/23,2023
19403575,basic,995000,for_sale,600,2100,829,1/7/23,2023
19437336,basic,995000,for_sale,600,2000,829,1/6/23,2023
19472698,basic,995000,for_sale,600,1700,829,1/5/23,2023
19481116,plus,995000,for_sale,600,1700,304.5,1/5/23,2023
19487660,premium,995000,for_sale,600,2000,559.5,1/6/23,2023
18380957,basic,995000,for_sale,510,2700,999,3/4/22,2022
